Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
14590113354,"May 25, 2025, 11:59:59 AM",70% E - Birthday Run,Run,Introspection V4 coming soon,1356,4.95,,,false,,,activities/14590113354.gpx,,,1356.0,1353.0,4949.9,6.82,3.658,39.0,37.6,325.3,329.4,7.0,0.0,,,,,,,,,445.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,4992.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.65,0.0,,,,3630.0,,,,,3.69,,,,,,,,media/DEE1AB76-39E1-4956-AB7F-452396F82D68.jpg|media/B75C57A8-AD33-4270-96BE-F90407CB2FC8.jpg|media/51C93CC8-7B5B-41B9-8B5A-2F1DE02B3FF8.jpg|media/AF396004-2B5A-4733-858B-6819A0799F1C.jpg|media/B26FB4E2-BE7D-416A-A9C6-5D3BEE500D5A.jpg
14718524754,"Jun 6, 2025, 10:59:19 PM",70% E - *redacted* run,Run,I forgot to stop my clock when I *redacted*  so look at my splits low-key crazy for how ill I felt and 6000 ft of elevation,3215,8.88,,,false,,,activities/14718524754.gpx,,,3215.0,3172.0,8888.1,5.26,2.802,117.5,116.0,1775.1,1833.9,36.0,0.0,,,,,,,,,810.0,,,,,,,,,,,,,,,,0.0,,1.0,9087.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.765,82.3,,,,7466.0,,,,,2.865,,,,,,,,media/AE449642-0086-462F-B6E3-C1C04234C76F.jpg|media/EE7E79FF-745A-4510-94D3-DB0CC1D15870.jpg
14945043853,"Jun 28, 2025, 5:25:06 PM",Bog Trail,Run,lovely hike,3322,3.59,,,false,,,activities/14945043853.gpx,,,3322.0,2354.0,3596.9,2.58,1.528,42.0,46.9,180.9,207.1,24.2,-0.2,,,,,,,,,337.0,,,,,,,,,,,,,,,,0.0,,1.0,3784.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.083,3596.9,,,,5234.0,,,,,1.608,,,,,,,,media/D1316A62-71DC-4117-B852-C0C0A37E68F0.jpg|media/29B3D807-0E94-4CA3-8156-7468E66B3D65.jpg|media/BF1537A5-D027-48E4-8D66-4B61C8241FE7.jpg|media/0288A208-2934-466D-805D-0DE8229109F8.jpg|media/1BFF8540-163B-457D-A89A-AC7B72CDFA44.jpg
14947583410,"Jun 28, 2025, 6:54:42 PM",ROCK YO ****,Run,"",1485,4.61,,,false,,,activities/14947583410.gpx,,,1485.0,1470.0,4610.0,4.82,3.136,0.0,0.0,175.8,177.7,4.7,0.0,,,,,,,,,412.0,,,,,,,,,,,,,,,,0.0,,1.0,4621.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.104,0.0,,,,4114.0,,,,,3.144,,,,,,,,media/B8B597D9-C7BC-4C59-8E33-65CA48FDC0E1.jpg|media/17B987BE-32D9-4B32-A1A8-EFF61A64A48B.jpg
14956902875,"Jun 29, 2025, 5:03:40 PM",“Sahil would be Proud”,Ride,[strava://athletes/55560301/11]Sahil Handa 😛😛😛,12722,19.12,,,false,,,activities/14956902875.gpx,,,12722.0,4917.0,19120.8,9.82,3.889,52.1,41.7,176.8,192.9,15.7,0.0,,,,,,,,63.0,346.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.503,3329.2,,,,,,,,,,,,,,,,,media/084FB37D-07C8-43BA-88ED-645642F273D4.jpg|media/1E89E2FE-1325-434E-BCBD-903808281B61.mp4|media/AEBC4136-2A25-4EF9-9447-7C7F74AEED6E.jpg|media/1A3ADE54-97D5-4F1C-9A13-DFF2E7A483DC.mp4|media/C47AB6B7-09CC-421F-8FCB-584726F2FA10.mp4|media/8D63D61D-CD24-49ED-A957-16CFF3878E93.jpg
15115364873,"Jul 14, 2025, 8:46:55 PM",50% E - Genie Run,Run,"Bro puked halfway, but we had 7:00 min pace  for first two miles",3454,5.80,,,false,,,activities/15115364873.gpx,,,3454.0,2891.0,5799.7,5.98,2.006,59.5,59.8,296.8,340.2,16.3,0.0,,,,,,,,,526.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5903.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.679,0.0,,,,,,,,,,,,,,,,,media/327BFFDD-8383-44BF-8DEC-5A769E818636.jpg|media/2A3469C9-B4E0-42CC-BCCC-5D150862D3D6.jpg|media/63213B70-C9A7-4D18-90C6-AC5C12EF2D68.jpg|media/9940CA5A-7F3E-4518-8C3A-3C8AF1FE7490.mp4
15165945796,"Jul 19, 2025, 1:28:40 PM",60% E missed runclub 😭,Run,lmfao it started at 9:00 I pulled up at 9:20; def my bad,1868,5.57,,,false,,,activities/15165945796.gpx,,,1868.0,1708.0,5574.5,10.58,3.264,8.9,8.3,-1.6,6.0,47.5,0.0,,,,,,,,,504.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5649.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.984,0.0,,,,4540.0,0.0,,,,3.308,,,,,,,,media/7AEAD11D-B1D1-4E90-B0B9-BEB5FA0D09CB.jpg|media/C55D80DC-8944-488F-8125-AA3DA0DA8575.jpg|media/6B31693C-BF83-43AB-9BB9-8F666159EF7A.jpg
15178287373,"Jul 20, 2025, 2:15:19 PM",30% E - My fun lil run club,Run,"everyone was 30ish yearold but it was really sweet running with then, fun convos!!!",5416,7.41,,,false,,,activities/15178287373.gpx,,,5416.0,3018.0,7411.1,5.58,2.456,38.8,51.4,6.4,37.1,33.3,-0.2,,,,,,,,,665.0,,,,,,,,,,,,,,,,0.0,,1.0,7457.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.368,2512.4,,,,7088.0,0.0,,,,2.471,,,,,,,,media/F5A10DCB-4A5B-4B29-8D86-F28CC662C113.jpg|media/8419FDE6-48EE-43FF-A96B-0675AEAADBA6.jpg|media/7A838DA9-A33F-4CFB-9E6A-C79C09C456B3.jpg
15301419662,"Jul 31, 2025, 4:51:50 PM",20% E - Family hike,Hike,"Man, if me and denis were here we would’ve run the whole trail not even noticing the wind",2524,1.80,,,false,,,activities/15301419662.gpx,,,2524.0,1964.0,1801.9,2.97,0.917,73.7,70.5,47.9,77.8,40.3,0.2,,,,,,,,,161.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714,1793.9,,,,2892.0,0.0,,,,,,2892.0,,,,,,media/B57E86EB-FFD0-40E8-91BE-9881DC197045.jpg|media/12B58B23-D341-4934-BD26-D80E159E2BD0.jpg|media/78869C2D-4D84-4295-9FE9-D2E39174E639.jpg
15311406370,"Aug 1, 2025, 5:55:51 PM",80% E - Portugal Run,Run,Nice surprise seeing the Ronaldo statute and race cars; but them HILLS are insane,3211,7.72,,,false,,,activities/15311406370.gpx,,,3211.0,2326.0,7726.0,5.6,3.322,157.4,149.8,13.2,73.3,19.8,0.1,,,,,,,,,735.0,,,,,,,,,,,,,,,,0.0,,1.0,8242.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.406,0.0,,,,6190.0,0.0,,,,3.544,,,,,,,,media/4E3A5B3A-7895-4FE3-A13C-733E070D1DF8.jpg|media/F184A7E7-72EF-4637-8E25-80CBF0B8A2F9.jpg|media/D8D51D18-1AE4-424C-89F9-3AD0694101CB.jpg|media/D315BD50-2B4A-45EA-8AFE-B011921651E7.jpg|media/72FF0F22-547C-4EBA-BD94-93BAFCB60839.jpg|media/0C7C4B75-AAE4-41FD-B847-7B7DEB6257B7.jpg|media/43D11832-EF6E-4651-8B47-C3568768697A.jpg
15385396969,"Aug 8, 2025, 8:57:33 AM",40% E - Jog to Gym,Run,Going up and down streets of houslow,737,1.47,,,false,,,activities/15385396969.gpx,,,737.0,502.0,1474.1,5.4,2.936,4.8,0.0,16.9,21.7,3.3,0.3,,,,,,,,,132.0,,,,,,,,,,,,,,,,0.0,,1.0,1484.8,1754640000.0,3.0,17.5,16.6,13.4,0.77,1018.6,2.5,6.0,278.0,0.0,1754627840.0,1754681856.0,0.375,,,0.0,1.0,0.85,31773.1,2.0,,,,,,2.0,0.0,,,,1188.0,0.0,,,,2.958,,,,,,,,media/473311C4-F194-4411-BEFA-BCDF1BDE3D65.jpg
15435277969,"Aug 12, 2025, 4:15:34 PM",65% E - Nice gym warmup,Run,"",447,1.62,,,false,,,activities/15435277969.gpx,,,447.0,443.0,1622.6,5.16,3.663,5.2,0.0,16.5,21.7,2.9,0.3,,,,,,,,,146.0,,,,,,,,,,,,,,,,0.0,,1.0,1635.8,1755014400.0,1.0,30.6,32.0,15.1,0.39,1012.2,3.0,6.1,116.0,0.0,1754973824.0,1755026944.0,0.625,,,0.0,1.0,0.01,34493.2,2.0,,,,,,3.63,0.0,,,,1194.0,0.0,,,,3.693,,,,,,,,""
15480966873,"Aug 16, 2025, 4:20:59 PM",80% E - Skipped 🇬🇧 leg day,Run,"Noticed a issue with my headphones, when I run my ears get REALLY hot :(",1979,7.05,,,false,,,activities/15480966873.gpx,,,1979.0,1979.0,7055.7,8.36,3.565,0.0,0.0,16.2,17.5,1.7,0.0,,,,,,,,,630.0,,,,,,,,,,,,,,,,0.0,,1.0,7061.8,1755360000.0,1.0,25.4,25.3,13.9,0.49,1025.2,4.2,8.6,58.0,0.0,1755319808.0,1755372032.0,0.75,,,0.0,1.0,0.23,32929.4,2.0,,,,,,3.565,0.0,,,,5516.0,0.0,,,,3.568,,,,,,,,media/4AF26579-8226-4590-BFF3-47B9660D465E.jpg|media/6952AEBD-9BCB-4395-B1C0-937A4DEE3265.jpg|media/5D3920FB-34EA-4EBB-A1E1-F52B25479121.jpg
15514069849,"Aug 19, 2025, 3:06:54 PM",95% E - most mentally challenging run,Run,"It’s crazy how this isn’t my fastest 5K, it didnt have the most hills, and it wasn’t the hottest I’ve ever run… But this run took every out of my will not stop running, I’m glad I finished it! ☺️


also note to self maybe don’t run after three hours of sleep, jet lag, and no food or water for 12 hrs",1370,4.85,,,false,,,activities/15514069849.gpx,,,1370.0,1370.0,4857.7,5.3,3.546,43.5,45.9,297.1,340.2,7.7,0.0,,,,,,,,,438.0,,,,,,,,,10.0,,,,,0.0,83.0,0.0,,1.0,4914.6,1755615616.0,1.0,27.3,29.8,22.9,0.77,1017.1,2.5,4.2,97.0,0.0,1755601408.0,1755649152.0,0.875,,,0.53,5.0,0.17,20555.4,5.0,,,,,,3.546,0.0,,,,3838.0,0.0,,,,3.587,,,,,,,,media/60B1F8F7-8570-4172-824C-DCDE651811CF.jpg
15604810782,"Aug 27, 2025, 1:38:36 PM",60% - Calf Workout,Run,24th floor tiptoes calf workout; lol looks live starva uses gps and not step counter,515,0.41,,,false,,,activities/15604810782.gpx,,,515.0,181.0,412.1,4.188,2.277,0.0,0.0,281.3,282.4,1.6,-0.1,,,,,,,,,37.0,,,,,,,,,,,,,,,,0.0,,1.0,412.2,1756299648.0,1.0,17.0,19.1,12.9,0.77,1022.7,2.1,5.0,26.0,0.0,1756292864.0,1756339712.0,0.125,,,0.0,1.0,0.04,24829.0,1.0,,,,,,0.8,0.0,,,,380.0,0.0,,,,2.277,,,,,,,,media/BF69BC4D-F8E2-4D7D-BD29-6BC8C5F2F18C.jpg
15627506063,"Aug 29, 2025, 3:12:05 PM",70% - badminton warm-up,Run,"",413,1.40,,,false,,,activities/15627506063.gpx,,,413.0,413.0,1407.4,4.88,3.408,33.3,23.2,275.8,302.8,15.8,0.7,,,,,,,,,134.0,,,,,,,,,,,,,,,,0.0,,1.0,1500.1,1756479616.0,1.0,23.4,26.3,17.4,0.69,1019.2,1.7,3.1,78.0,0.0,1756465792.0,1756512384.0,0.125,,,0.15,5.0,0.01,27044.9,5.0,,,,,,3.408,156.5,,,,748.0,0.0,,,,3.632,,,,,,,,media/B9D056C5-46C3-4EBA-A367-DC3584536B2F.jpg
15650832616,"Aug 31, 2025, 2:13:09 PM",40% E - Monkey runnnn,Run,live love Dennis Sahil and Shaan,3066,6.50,,,false,,,activities/15650832616.gpx,,,3066.0,3024.0,6503.6,7.4,2.151,102.9,103.6,192.1,237.6,17.4,0.0,,,,,,,,,601.0,,,,,,,,,,,,,,,,0.0,,1.0,6735.8,1756648832.0,1.0,22.2,24.5,18.4,0.79,1019.3,2.6,5.0,44.0,0.0,1756638464.0,1756684800.0,0.25,,,0.32,5.0,0.03,20735.4,3.0,,,,,,2.121,174.6,,,,7582.0,0.0,,,,2.227,,,,,,,,media/17932260-BFB7-483F-AD3E-944D481A80C1.jpg|media/162818DC-D1DA-4B12-B553-6B6C9D09B7F5.jpg|media/E3BF5A24-F860-4101-A06D-70D51A040F82.jpg|media/21D85643-5A70-4D80-A227-7CDB0AFC1F6B.jpg|media/AFB33D6C-574D-4818-8BEC-C4552F118B75.jpg
15720086973,"Sep 6, 2025, 5:10:15 PM",70% E - Met a friend!,Run,Ran into a random dude while my ran to the badminton courts,1238,4.19,,,false,,,activities/15720086973.gpx,,,1238.0,1178.0,4191.4,6.32,3.558,33.1,41.3,251.8,284.1,28.1,-0.2,,,,,,,,,376.0,,,,,,,,,,,,,,,,0.0,,1.0,4211.9,1757178000.0,3.0,17.9,12.9,6.7,0.48,1015.8,6.0,9.2,266.0,0.0,1757156756.0,1757203188.0,0.375,,,0.09,5.0,1.0,39166.0,4.0,,,,,,3.386,131.8,,,,2790.0,0.0,,,,3.575,,,,,,,,media/950C9737-5205-4C77-85D7-CAFFAA7C6E9C.jpg|media/12BB958E-4526-4883-A4DD-752B544A97E6.jpg
15904688586,"Sep 15, 2025, 6:21:48 PM",Modera Miles,Run,"",1293,4.84,,,false,,,activities/15904688586.gpx,,,1293.0,1289.0,4847.3,13.973,3.761,21.0,21.1,279.9,286.4,9.9,0.0,,,,,,,,,439.0,,,,,,,,,,,,,,,,0.0,,1.0,4927.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.749,0.0,,,,3548.0,0.0,,,,3.823,,,,,,,,media/D0F4D10F-CDAD-410D-B53D-C6B47E34E514.jpg|media/A4C1D2AF-ED77-4AC1-BDBC-9EFAFF8C6479.jpg
16046943739,"Oct 5, 2025, 4:54:07 PM",60% E - Mount Willard,Run,yay!,10891,3.83,,,false,,,activities/16046943739.gpx,,,10891.0,1978.0,3829.3,2.28,1.936,273.1,158.7,580.0,851.0,50.0,0.0,,,,,,,,,580.0,,,,,,,,,,,,,,,,0.0,,1.0,6499.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.352,4273.6,,,,6494.0,0.0,,,,0.802,,,,,,,,media/C853A854-94CC-449D-85AA-C1DE759D764F.jpg|media/3318059E-F347-47F1-A620-DE72EE343438.jpg|media/F442F8FB-BB7B-4204-AB23-545BE95141D7.jpg
16118771212,"Oct 7, 2025, 7:41:29 PM",60%E - Light Jog,Run,"",416242,3.65,,,false,,,activities/16118771212.gpx,,,416242.0,1099.0,3652.1,6.14,3.323,15.4,15.3,281.3,284.5,8.2,0.0,,,,,,,,,332.0,,,,,,,,,,,,,,,,0.0,,1.0,3721.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.0,,,,3028.0,0.0,,,,3.386,,,,,,,,""
16120126239,"Oct 12, 2025, 3:56:07 PM",40% E - Moiz Miles,Run,"",3650,7.89,,,false,,,activities/16120126239.gpx,,,3650.0,2586.0,7897.4,5.52,3.054,73.1,73.1,265.6,304.7,11.6,0.0,,,,,,,,,713.0,,,,,,,,,,,,,,,,0.0,,1.0,7996.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.164,0.0,,,,6570.0,0.0,,,,3.092,,,,,,,,media/09F17EE1-5F8D-491F-B0F6-54BEC5C60566.jpg|media/CC2CE360-BF93-4606-AC3B-D1C051B8CBCC.jpg|media/290A19CF-DDB5-423F-8B8B-592B49AEF632.jpg|media/AE464DD5-4565-4547-A03E-6C99E79C374D.jpg|media/5A0A968F-076D-4E55-A104-3B5A94D165FC.jpg
